name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"295,780,147,000","201,017,321,000","195,641,593,000","194,571,077,000","178,099,430,000","145,070,778,000","115,485,755,000","94,008,855,000","76,392,911,000","68,710,488,000","65,624,392,000","52,963,401,000","40,446,081,000","32,531,760,000","29,288,491,000","15,149,011,000","10,673,861,000","8,627,087,000","5,544,029,000","3,201,720,000"
	CurrentAssets,"166,110,189,000","111,605,110,000","106,966,605,000","115,210,575,000","102,684,392,000","78,240,081,000","54,411,666,000","40,733,096,000","28,242,826,000","21,932,116,000","21,424,455,000","17,552,692,000","16,852,490,000","14,491,618,000","16,299,985,000","7,228,813,000","5,089,391,000","4,464,103,000","3,100,481,000","2,496,740,000"
		CashCashEquivalentsAndShortTermInvestments,"56,063,149,000","14,445,054,000","12,684,428,000","13,052,546,000","9,903,785,000","7,693,666,000","6,614,633,000","4,453,164,000","5,378,828,000","3,683,966,000","4,048,446,000","1,992,519,000","2,345,542,000","1,704,077,000","5,539,501,000","1,702,395,000","733,905,000","706,410,000","518,491,000","1,240,150,000"
			CashAndCashEquivalents,"50,457,097,000","14,445,030,000","12,650,083,000","13,052,095,000","9,902,690,000","7,693,666,000","6,596,426,000","4,453,164,000","5,378,828,000","3,683,966,000","4,048,446,000","1,992,519,000","2,344,542,000","1,704,077,000","5,539,501,000","1,701,077,000","730,179,000","706,410,000","518,491,000","1,240,150,000"
				CashFinancial,"35,119,860,000","11,788,498,000","11,674,297,000","11,151,057,000","8,935,954,000","7,358,594,000","6,279,531,000","4,089,466,000","4,710,942,000","3,486,561,000","3,737,386,000","1,978,735,000","2,310,819,000","1,699,353,000",,,,,,
				CashEquivalents,"15,337,237,000","2,656,532,000","975,786,000","1,901,038,000","966,736,000","335,072,000","316,895,000","363,698,000","667,886,000","197,405,000","311,060,000","13,784,000","33,723,000","4,724,000",,,,,,
			OtherShortTermInvestments,"5,606,052,000","24,000","34,345,000","451,000","1,095,000","247,360,000","18,207,000","139,051,000","200,000,000",,,,"1,000,000",,,"1,318,000","3,726,000",,,
		Inventory,"43,354,782,000","31,396,358,000","25,571,564,000","26,330,345,000","19,872,804,000","17,378,439,000","15,750,550,000","9,978,317,000","8,220,552,000","7,344,833,000","6,595,797,000","6,537,852,000","4,405,206,000","6,912,844,000","4,548,545,000","3,156,918,000","2,231,556,000","1,494,243,000","870,379,000","439,060,000"
			RawMaterials,"9,008,028,000","4,899,310,000","4,514,436,000","6,119,794,000","5,175,401,000","3,999,587,000","4,608,747,000","3,107,408,000","2,635,294,000","2,658,154,000","2,353,132,000","2,694,772,000","1,978,709,000","2,836,786,000","1,747,683,000",,,,,
			WorkInProcess,"14,360,249,000","9,912,370,000","10,982,781,000","11,747,481,000","8,995,702,000","6,350,115,000","5,935,112,000","4,147,742,000","3,345,397,000","2,245,421,000","1,932,692,000","1,588,463,000","1,077,808,000","1,184,035,000","836,495,000",,,,,
