name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalAssets,"307,666,860,900","156,618,426,940.59","101,351,976,711.32","73,883,704,016.51","49,662,885,758.45","28,588,314,344.08","8,672,957,501.46","2,875,108,627.98"
	CurrentAssets,"177,734,938,700","112,864,989,321.68","71,694,937,173.28","53,911,422,755.37","33,033,102,914.27","21,761,324,772.53","5,504,467,564.87","1,892,662,306.6"
		CashCashEquivalentsAndShortTermInvestments,"90,435,862,600","71,712,187,566.28","33,659,220,919.44","27,731,189,739.92","14,080,936,626.3","2,456,530,834.16","1,292,935,327.52","59,580,991.01"
			CashAndCashEquivalents,"89,071,889,700","68,424,116,053.67","32,269,635,327.07","27,731,189,739.92","14,080,936,626.3","2,456,530,834.16","1,292,935,327.52","59,580,991.01"
				CashFinancial,"76,393,724,000","63,678,260,783.57","27,368,275,114.95","24,650,654,649.03","12,039,904,759.83","1,166,000,953.6",,
				CashEquivalents,"12,678,165,700","4,745,855,270.1","4,901,360,212.12","3,080,535,090.89","2,041,031,866.47","1,290,529,880.56",,
			OtherShortTermInvestments,"1,363,972,900","3,288,071,512.61","1,389,585,592.37",,,,,
		Inventory,"40,199,691,900","13,224,640,950.39","11,480,549,879.88","7,076,101,849.47","3,417,757,092.32","1,359,772,316.12","1,041,611,188.85","312,078,268.93"
			RawMaterials,"8,035,824,900","2,653,320,197.81","2,828,517,164.88","1,035,774,409.31","1,003,685,556.53","485,593,148.64",,
			WorkInProcess,"4,534,256,500","1,872,203,436.62","1,115,596,002.04","854,735,581.95","254,428,581.79","172,794,042.18",,
			FinishedGoods,"26,595,731,600","8,117,241,281.88","7,536,436,712.96","4,495,947,736.59","1,796,250,147.19","542,863,800.3",,
			OtherInventories,"1,033,878,900","581,876,034.08","-2,103,548,488.38","689,644,121.62","363,392,806.81","158,521,325",,
			InventoriesAdjustmentsAllowances,,"-1,565,899,790.41","-1,051,774,244.19","-765,367,121.81","-227,885,449","-176,638,565.5","1,041,611,188.85","312,078,268.93"
		PrepaidAssets,"6,466,439,300","997,118,630.25","538,163,094.42","864,640,798.47","305,835,456.79","101,183,102.22","70,469,398.58","15,325,513.65"
		AssetsHeldForSaleCurrent,,,,,,"5,400,000",,
		HedgingAssetsCurrent,"243,105,100","1,330,347,108.86","1,812,135,529.6","512,661,245.82","13,744,559.02",,,
		OtherCurrentAssets,"5,493,887,700","1,050,789,155.88","1,647,816,662.94","1,076,991,664.73","2,695,030,983.77","9,760,704,235.56","227,855,161.28","1,104,090,329.41"
	TotalNonCurrentAssets,"129,931,922,200","43,753,437,618.91","29,657,039,538.04","19,972,281,261.14","16,629,782,844.18","6,826,989,571.55","3,168,489,936.59","982,446,321.38"
		NetPPE,"72,952,118,100","25,372,000,263.39","19,413,873,371.45","13,198,503,980.05","11,193,860,613.2","4,953,603,721.23","1,787,998,804.16","416,899,897.43"
			GrossPPE,"90,373,953,300","37,782,851,560.87","27,967,247,245.18","17,284,702,439.72","13,335,733,149.46","4,953,603,721.23","1,787,998,804.16","416,899,897.43"
				Properties,"15,741,417,000","8,658,337,660.43","6,985,213,646.63","4,866,417,947.73","2,484,044,409.55",,,
				LandAndImprovements,,,"2,088,560,452.93","1,048,668,365.34","1,047,431,281.82",,,
				BuildingsAndImprovements,,"8,658,337,660.43","6,985,213,646.63","4,866,417,947.73","2,484,044,409.55",,,
				MachineryFurnitureEquipment,"41,593,204,800","22,571,289,498.18","18,329,272,266.23","10,336,915,629.89","7,529,820,066.48",,,
				OtherProperties,"2,041,172,000","802,872,581.89","656,236,554.31","457,530,639.16","347,504,641.97","3,727,473,865.79","1,313,105,009.55","242,838,681.05"
				ConstructionInProgress,"30,998,159,500","5,750,351,820.37","1,996,524,778.01","1,623,838,222.94","2,974,364,031.46","1,226,129,855.44","474,893,794.61","174,061,216.38"
			AccumulatedDepreciation,"-17,421,835,200","-12,410,851,297.48","-8,553,373,873.73","-4,086,198,459.67","-2,141,872,536.26",,,
		GoodwillAndOtherIntangibleAssets,"5,007,457,100","2,665,887,612.69","2,450,269,094.37","1,446,590,408.2","1,509,179,520.11","722,065,221.04","603,177,294.66","237,605,481.13"
			Goodwill,"527,850,700","147,951,887.23","147,951,887.23","100,419,270.78","100,419,270.78","100,419,270.78","100,419,270.78",
			OtherIntangibleAssets,"4,479,606,400","2,517,935,725.46","2,302,317,207.14","1,346,171,137.42","1,408,760,249.33","621,645,950.26","502,758,023.88","237,605,481.13"
		NonCurrentDeferredAssets,"1,264,339,100","363,551,716.95","394,096,018.07","305,828,515.4","139,310,483.53","14,206,421.31","6,133,369.98","302,589.41"
			NonCurrentDeferredTaxesAssets,"5,542,554,400","3,167,109,948.33","2,079,210,533.02","1,240,737,742.63","510,045,198.34","264,912,007.47","135,241,432.42","25,097,812.88"
		OtherNonCurrentAssets,"20,575,419,000","5,002,631,587.8","2,248,533,970.82","1,298,901,335.85","525,068,808.1","559,144,024.11","630,939,035.37","70,316,438.57"
TotalLiabilitiesNetMinorityInterest,"215,044,686,400","87,423,710,523.7","59,164,101,553.6","38,683,533,425.89","23,191,646,660.83","12,797,195,300.25","7,174,629,112.81","2,539,700,816.95"
	CurrentLiabilities,"149,344,832,600","54,977,189,803.22","45,607,378,729.06","31,084,941,868.55","17,890,045,939.15","10,182,824,422.36","5,349,286,442.97","936,283,397.17"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,"1,582,275,521.53","1,122,253,456.83","517,308,034.99","446,249,267.28","198,490,932.79","21,201,376.97"
		CurrentDebtAndCapitalLeaseObligation,"15,671,589,700","7,684,118,878.66","3,203,115,176.86","2,109,116,132.48","2,610,040,600.67","1,467,099,233.57","1,899,133,402.35","324,505,703.88"
			CurrentDebt,"12,123,056,900","6,335,080,182.17","2,125,646,681.77","1,180,092,100.11","2,245,096,000.7","1,226,587,998.8","576,558,942.87","197,129,703.88"
		OtherCurrentLiabilities,"1,242,490,300","760,008,999.58","6,161,443,242.83","4,994,400,867.91","203,165,478.74","87,727,135.56","170,045,760.44","8,715,160"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"65,699,853,800","32,446,520,720.48","13,556,722,824.54","7,598,591,557.34","5,301,600,721.68","2,614,370,877.89","1,825,342,669.84","1,603,417,419.78"
		LongTermDebtAndCapitalLeaseObligation,"38,369,434,800","20,450,419,205.07","6,488,902,376.96","3,490,767,815.96","2,129,095,275.13","302,000,000","917,666,570.26","1,344,911,122.2"
			LongTermDebt,"37,974,130,800","20,450,419,205.07","6,488,902,376.96","3,490,767,815.96","2,129,095,275.13","302,000,000","917,666,570.26","1,344,911,122.2"
			LongTermCapitalLeaseObligation,"395,304,000",,,,,,,
		TradeandOtherPayablesNonCurrent,"1,010,000,000","1,193,938,630.3","873,618,580.61","943,414,523.31","895,045,177.66","950,079,201.39","917,666,570.26","1,344,911,122.2"
		OtherNonCurrentLiabilities,"13,182,483,000","6,797,704,877.32","5,289,773,262.4","2,512,382,681.52","1,789,007,284.61","930,580,458.65","581,118,102.95","43,656,244.08"
TotalEquityGrossMinorityInterest,"92,622,174,500","69,194,716,416.89","42,187,875,157.72","35,200,170,590.62","26,471,239,097.62","15,791,119,043.83","1,498,328,388.65","335,407,811.03"
	StockholdersEquity,"84,513,271,300","64,207,299,366.58","38,134,983,894.48","32,938,280,895.31","24,701,439,571.11","15,488,646,283.32","1,253,665,178.58","256,883,248.04"
		CapitalStock,"2,330,851,200","2,329,474,028","2,208,399,700","2,195,017,400","1,955,193,267","613,321,800","470,590,000","200,000,000"
			CommonStock,"2,330,851,200","2,329,474,028","2,208,399,700","2,195,017,400","1,955,193,267","613,321,800","470,590,000","200,000,000"
		AdditionalPaidInCapital,"41,333,523,600","40,973,477,988.54","21,217,687,720.7","21,074,593,224.05","15,119,534,493.06","11,350,298,354.43","369,014,163.84",
