name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1997,12/31/1996
TotalAssets,"262,617,997","142,767,079","95,583,557","127,583,642","153,131,324","93,311,685","63,367,232","43,968,181","340,605,180","442,949,640","475,241,931","457,335,709","472,084,339","424,046,882","307,229,024","259,655,294","187,685,774","16,060","3,148","7,539","20","315","4,300,000","1,700,000"
	CurrentAssets,"122,841,687","63,170,406","28,488,995","56,369,692","85,244,240","32,344,090","19,570,990","12,687,259","147,789,379","169,322,840","197,228,929","194,662,022","219,951,318","196,661,580","143,928,754","146,927,421","119,728,064","16,060","108","4,119","20","315","1,500,000","700,000"
		CashCashEquivalentsAndShortTermInvestments,"8,148,391","11,916,995","1,612,957","449,670","1,644,535","1,953,295","6,762,745","991,519","13,998,626","9,271,633","24,858,239","22,588,635","30,678,352","35,706,834","14,196,513","21,099,555","33,055,784","16,060","108","4,119","20","315","600,000","200,000"
			CashAndCashEquivalents,"7,357,875","11,681,750","1,612,957","449,670","1,644,535","1,953,295","6,762,745","991,519","13,998,626","9,271,633","24,858,239","22,588,635","30,678,352","35,706,834","14,196,513","21,099,555","33,055,784","16,060","108","4,119","20","315","600,000","200,000"
				CashFinancial,,,,,,,,,,,,,,,,,"33,055,784",,,,,"315",,
			OtherShortTermInvestments,"790,516","235,245",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"60,018,418","35,971,854","12,194,177","27,315,924","63,512,380","8,709,922","7,170,534","8,856,816","63,181,396","77,449,591","88,261,267","86,198,239","83,291,698","82,740,288","63,150,872","64,332,171","44,135,655",,,,,,"500,000","300,000"
			AccountsReceivable,"44,089,188","28,039,169","7,866,940","15,397,690","38,394,289","2,157,587","4,670,301","1,013,641","43,971,672","74,537,210","88,261,267","86,198,239","83,291,698","82,740,288","63,150,872","64,332,171","43,651,627",,,,,,,
				GrossAccountsReceivable,"48,707,457","33,305,997","12,517,626","19,054,863","42,095,211","4,995,564","4,792,416","1,013,641","61,706,474","107,781,638","114,755,817",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,618,269","-5,266,828","-4,650,686","-3,657,173","-3,700,922","-2,837,977","-122,115","0","-17,734,802","-33,244,428","-26,494,550",,,,,,,,,,,,,
