name,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997
TotalAssets,"18,081,000","14,977,000","10,642,000","2,088,000","15,830,000","35,543,000","30,831,000","27,343,000","12,340,000","15,435,000","21,173,000","16,494,000","11,948,000","13,346,000","12,652,889","16,630,107","19,064,150","25,981,920","26,682,276","34,134,153","39,613,810","49,635,638","30,893,956","3,717,536","4,807,378","6,206,721"
	CurrentAssets,"15,681,000","12,028,000","8,067,000","2,083,000","4,333,000","22,728,000","23,311,000","19,662,000","3,330,000","5,600,000","10,332,000","10,768,000","5,796,000","7,367,000","6,729,920","9,957,738","12,708,240","15,046,061","17,479,165","22,110,757","25,358,155","34,135,353","20,912,042","2,832,557","4,267,078","5,889,701"
		CashCashEquivalentsAndShortTermInvestments,"626,000","4,202,000","1,124,000","333,000","126,000","3,441,000","668,000","6,309,000","969,000","2,604,000","5,047,000","5,265,000","3,001,000","5,614,000","4,933,772","7,246,931","10,150,309","12,232,458","13,612,192","17,591,620","20,618,031","30,703,378","19,336,357","2,393,700","3,771,216","5,498,585"
			CashAndCashEquivalents,"626,000","4,202,000","1,124,000","333,000","126,000","3,441,000","668,000","6,309,000","969,000","2,604,000","5,047,000","5,265,000","3,001,000","5,614,000","4,933,772","7,246,931","4,305,270","3,332,759","2,715,295","6,177,538","2,528,823","2,435,841","6,337,157","2,393,700","3,771,216","5,498,585"
				CashFinancial,,,,,,"3,441,000","610,000","5,174,000","172,000","1,459,000","3,865,000",,,,,,,,,,,,,,,
				CashEquivalents,,,,,,"0","58,000","1,135,000","797,000","1,145,000","1,182,000",,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,"5,845,039","8,899,699","10,896,897","11,414,082","18,089,208","28,267,537","12,999,200",,,
		Receivables,"6,683,000","1,341,000","2,491,000","346,000","1,030,000","3,697,000","3,235,000","4,388,000","1,344,000","1,889,000","3,617,000","3,254,000","1,810,000","896,000","976,045","1,125,981","457,189","904,003","928,645","1,528,837","925,471","468,285","439,914","43,867","53,681","96,929"
			AccountsReceivable,"6,258,000","958,000","2,297,000","254,000","679,000","3,021,000","2,876,000","3,489,000","770,000","1,495,000","3,191,000","2,724,000","1,332,000","450,000","547,675","218,354","433,927","825,656","697,674","1,046,865","762,301","300,995","439,914","43,867","53,681","96,929"
				GrossAccountsReceivable,"6,312,000","958,000","2,297,000","254,000","679,000","3,550,000","5,423,000","3,637,000","1,024,000","1,495,000","3,191,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-54,000","0","0","0","0","-529,000","-2,547,000","-148,000","-254,000","0","0",,,,,,,,,,,,,,,
