name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"44,533,907,483.44","25,700,202,987.26","16,294,548,765.32","10,031,920,312.64","7,460,335,988.71","4,387,616,063.86","2,487,956,258.18","1,680,492,790.58","1,270,129,571.61","895,622,682.03","808,969,620.99","690,020,710.82","606,451,837.84","215,114,196.27","166,683,533.67","97,968,805.7"
	CurrentAssets,"18,221,435,336.81","11,341,802,587.23","8,302,385,041.63","4,584,910,655.86","2,926,290,898.53","2,114,204,627.18","1,279,800,822.32","800,780,009.98","865,235,081.35","562,774,748.18","516,985,862.85","460,177,308.81","512,312,909.48","153,349,113.12","125,418,855.32","75,684,007.66"
		CashCashEquivalentsAndShortTermInvestments,"6,822,471,428.42","4,878,340,968.19","3,237,325,100.79","1,122,489,618.92","264,454,811.21","539,744,519.22","505,438,880.41","122,511,631.68","247,182,615.45","116,846,625.04","172,211,167.08","236,958,441.45","346,380,195.81","39,572,557.87","14,562,283.91","4,528,691.41"
			CashAndCashEquivalents,"6,808,715,028.42","3,803,675,168.19","2,097,325,100.79","1,122,489,618.92","264,454,811.21","539,744,519.22","469,488,880.41","122,511,631.68","247,182,615.45","116,846,625.04","172,211,167.08","236,958,441.45","346,380,195.81","39,572,557.87","14,562,283.91","4,528,691.41"
				CashFinancial,"5,859,510,685.19","3,425,967,664.5","1,910,124,993.18","969,273,142.32","238,820,303.81","474,214,181.2","456,332,318.32","110,313,944.7","228,694,442.12","116,846,625.04","172,211,167.08","236,733,441.45","345,572,133.39",,,
				CashEquivalents,"949,204,343.23","377,707,503.69","187,200,107.61","153,216,476.6","25,634,507.4","65,530,338.02","13,156,562.09","12,197,686.98","18,488,173.33","116,708,143.73","0","225,000","808,062.42",,,
			OtherShortTermInvestments,"13,756,400","1,074,665,800","1,140,000,000",,,,"35,950,000",,,,,,,,,
		Inventory,"3,712,025,866.83","1,714,205,853.85","1,129,723,669.83","1,200,328,696.8","907,073,966.17","533,747,346.14","233,228,826.22","236,361,745.37","186,480,938.94","116,001,585.6","96,926,244.75","63,865,295.57","51,635,712.82","50,077,750.46","50,353,083.41","44,262,126.9"
			RawMaterials,"1,105,890,481.27","539,206,131.79","294,786,302.82","188,630,411.05","139,943,676.5","118,029,963.75","60,246,030.98","74,722,670.38","31,080,535.8","24,173,336.56","17,012,298.55","12,243,028.39","16,124,945.83",,,
			WorkInProcess,"1,628,529,991.9","865,509,323.66","476,580,917.22","630,446,252.38","372,708,181.41","215,298,553.63","112,760,042.66","97,333,776.62","99,731,936.56","52,175,672.97","51,766,150.97","38,505,473.03","30,203,009.21",,,
			FinishedGoods,"977,605,393.66","309,490,398.4","358,356,449.79","381,252,033.37","394,422,108.26","200,418,828.76","60,222,752.58","64,305,298.37","55,668,466.58","39,652,576.07","28,147,795.23","13,116,794.15","5,307,757.78",,,
			OtherInventories,,,"-242,963,219.7","-79,875,267.56","-34,022,987.24","-23,858,100.8","-6,728,504.3","-7,220,245.38","-3,722,382.56","-1,418,239.08","-666,360.36","-666,360.36","-404,575.94",,,
			InventoriesAdjustmentsAllowances,,"-96,077,279.2","-121,481,609.85","-39,937,633.78","-17,011,493.62","-11,929,050.4","-3,364,252.15","-3,610,122.69","-1,861,191.28","-709,119.54","-333,180.18","-333,180.18","-202,287.97","50,077,750.46","50,353,083.41","44,262,126.9"
		PrepaidAssets,"550,984,904.01","468,974,533.21","75,703,007.42","32,897,150.45","43,585,618.47","12,742,510.74","12,620,681.63","38,466,591.51","41,418,152.57","16,368,655.13","27,161,374.25","25,118,763.25","27,931,369.31","5,141,188.86","3,392,540.24","663,387.1"
		OtherCurrentAssets,"546,335,046.15","195,608,173.28","148,820,205.3","84,867,829.34","171,505,617.62","54,371,599.17","16,730,879.37","2,353,567.57","-4,281,906.94","-2,856,390.28","-588,017.22","-2,903,848.21","-1,050,708.44","-500,997.58","-2,289,882.24","-1,716,731.07"
	TotalNonCurrentAssets,"26,312,472,146.63","14,358,400,400.03","7,992,163,723.69","5,447,009,656.78","4,534,045,090.18","2,273,411,436.68","1,208,155,435.86","879,712,780.6","404,894,490.26","332,847,933.85","291,983,758.14","229,843,402.01","94,138,928.36","61,765,083.15","41,264,678.35","22,284,798.04"
		NetPPE,"11,736,469,754.72","7,708,590,568.04","4,992,655,292.21","3,758,610,641.78","3,071,673,401.53","1,370,791,857.09","612,503,056.66","406,763,955.99","311,947,352.29","252,897,351.51","237,916,157.67","186,876,947.39","65,236,199.83","37,909,749.66","33,661,952.76","16,660,448.96"
			GrossPPE,"12,939,781,886.43","8,730,219,614.31","5,611,054,748.71","4,202,220,685.22","3,344,910,657.45","1,557,236,790.79","734,572,390.59","508,256,940.46","374,142,578.84","291,550,308.03","260,813,216.78","201,574,373.5","75,068,566.25","37,909,749.66","33,661,952.76","16,660,448.96"
				Properties,"2,408,886,263.27","1,005,260,385.16","939,141,907.69","641,172,075.85","311,978,203.58","176,103,923.7","98,832,296.88","71,563,079.06","71,470,445.31","71,470,445.3","23,293,440.3","23,293,440.3","23,293,440.3",,,
				LandAndImprovements,,,"255,247,019.4","175,494,119.4","154,449,312","87,815,692","87,815,692","33,006,362","18,312,362","18,312,362","18,312,362","18,312,362","18,312,362",,,
				BuildingsAndImprovements,,"1,005,260,385.16","939,141,907.69","641,172,075.85","311,978,203.58","176,103,923.7","98,832,296.88","71,563,079.06","71,470,445.31","71,470,445.3","23,293,440.3","23,293,440.3","23,293,440.3",,,
				MachineryFurnitureEquipment,"184,705,894.84","100,524,860.58","79,434,477.38","69,072,622.37","57,799,967.77","57,402,695.42","45,119,987.67","283,500,952.32","187,188,180.07","132,111,996.9","12,562,896.95","11,626,843.73","7,507,520.34",,,
