name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalAssets,"43,613,409,310.66","27,834,612,190.42","25,170,447,069.27","20,587,002,713.31","17,096,899,526.54","10,214,710,416.68","6,713,272,488.09","1,273,976,676.14","1,265,696,798.25","1,078,804,761.21","933,341,642.57","840,980,342.44","799,130,381.06","740,142,702.23","651,620,277.46","469,756,301.54","304,730,141.71","242,230,897.3","178,230,437"
	CurrentAssets,"25,280,440,470.62","15,619,507,033.24","14,760,997,374.74","12,396,333,971.72","11,187,175,971.83","5,907,776,428.09","4,555,972,039.92","811,846,165.38","811,204,038.1","689,425,400.72","612,019,618.07","561,649,558.7","545,333,971.53","508,799,509.21","450,393,095.29","335,308,872.94","201,621,933.87","171,897,773.43","120,872,521.09"
		CashCashEquivalentsAndShortTermInvestments,"11,438,436,874.05","3,754,641,635.6","3,614,749,694.18","3,092,379,741.17","4,798,774,058.15","2,306,304,130.19","2,010,655,366.23","175,859,921.76","197,287,439.17","100,372,196.11","137,574,502.13","151,057,790.52","154,472,133.35","145,969,569.69","134,641,850.33","160,455,259.17","68,493,590.71","81,132,968.66","50,216,961"
			CashAndCashEquivalents,"11,385,051,081.47","3,343,527,263.79","3,614,749,694.18","3,092,379,741.17","4,798,774,058.15","2,306,304,130.19","2,010,655,366.23","166,964,999.22","185,390,699.5","97,996,571.47","137,113,167.7","150,647,725.24","154,051,165.31","145,703,057.55","131,875,242.58","160,455,259.17","68,493,590.71","81,132,968.66","50,216,961"
				CashFinancial,"9,656,691,588.95","2,449,105,743.03","2,677,963,153.23","2,347,271,062.28","4,532,955,865.63","2,062,446,480.77","1,723,358,670.51","102,756,142.17","128,953,449.75","71,268,674.03","112,412,801.72","124,533,757.24","124,501,394.11","127,054,906.92","120,713,041.58","149,322,012.28",,,
				CashEquivalents,"1,728,359,492.52","894,421,520.76","936,786,540.95","745,108,678.89","265,818,192.52","243,857,649.42","287,296,695.72","64,208,857.05","56,437,249.75","26,727,897.44","24,700,365.98","26,113,968","29,549,771.2","18,648,150.63","11,162,201","11,133,246.89",,,
			OtherShortTermInvestments,"53,385,792.58","411,114,371.81",,,,,,"8,894,922.54","11,896,739.67","2,375,624.64","461,334.43","410,065.28","420,968.04","266,512.14","2,766,607.75",,,,
		Inventory,"4,488,468,539.81","3,220,326,787.62","3,958,831,886.47","2,277,135,331.73","1,514,614,084.78","630,348,590.45","488,629,877.3","153,112,597.98","175,636,369.88","151,609,756.92","121,129,082.32","115,176,271.81","98,397,325.3","83,912,709.98","62,871,000.68","56,251,136.64","40,786,786.81","27,418,895.49","22,675,097.91"
			RawMaterials,"919,992,941.74","261,937,770.63","265,858,209.67","273,401,232.4","230,673,668.88","167,625,374.44","165,667,034.86","58,889,639.19","65,271,121.4","57,851,736.21","53,108,472.12","39,663,779.13","29,740,014","45,783,714.7","34,167,415.78","32,139,265.3",,,
			WorkInProcess,"519,262,355.7","344,861,182.68","245,883,743.27","385,199,146.3","253,041,504.84","117,274,154.22","150,891,568.87","42,371,498.44","61,127,055.53","51,468,492.22","43,195,999.98","29,684,147.46","35,110,155.6","19,947,260.42","17,247,448.13","21,171,466.25",,,
