name,12/31/2022,12/31/2021,12/31/2020
TotalAssets,"984,957,000","995,291,000","404,510,000"
	CurrentAssets,"545,067,000","706,606,000","189,323,000"
		CashCashEquivalentsAndShortTermInvestments,"256,490,000","480,931,000","21,496,000"
			CashAndCashEquivalents,"231,420,000","480,931,000","21,496,000"
			OtherShortTermInvestments,"25,070,000",,
		Receivables,"124,219,000","104,255,000","100,088,000"
			AccountsReceivable,"119,304,000","88,717,000","76,298,000"
				GrossAccountsReceivable,"123,711,000","93,722,000","81,345,000"
				AllowanceForDoubtfulAccountsReceivable,"-4,407,000","-5,005,000","-5,047,000"
			NotesReceivable,"2,196,000","11,144,000","20,839,000"
			TaxesReceivable,"2,408,000","4,106,000","2,471,000"
			DuefromRelatedPartiesCurrent,"0","85,000",
			OtherReceivables,"311,000","203,000","480,000"
		Inventory,"84,252,000","53,424,000","44,968,000"
			RawMaterials,"29,331,000","25,266,000","17,451,000"
			WorkInProcess,"48,747,000","20,760,000","22,167,000"
			FinishedGoods,"6,174,000","7,398,000","5,350,000"
		PrepaidAssets,"9,374,000","12,818,000","3,071,000"
		RestrictedCash,"70,732,000","55,178,000","19,700,000"
		OtherCurrentAssets,"12,093,000",,
	TotalNonCurrentAssets,"439,890,000","288,685,000","215,187,000"
		NetPPE,"351,508,000","253,057,000","198,017,000"
			GrossPPE,"452,410,000","341,802,000","265,060,000"
				Properties,"0","0","0"
				BuildingsAndImprovements,"44,680,000","41,920,000","39,988,000"
				MachineryFurnitureEquipment,"167,195,000","172,874,000","141,048,000"
				OtherProperties,"16,368,000",,
				ConstructionInProgress,"195,542,000","96,973,000","57,397,000"
				Leases,"28,625,000","30,035,000","26,627,000"
			AccumulatedDepreciation,"-100,902,000","-88,745,000","-67,043,000"
		GoodwillAndOtherIntangibleAssets,"14,275,000","15,890,000","16,280,000"
			OtherIntangibleAssets,"14,275,000","15,890,000","16,280,000"
		OtherNonCurrentAssets,"74,107,000","19,738,000","890,000"
TotalLiabilitiesNetMinorityInterest,"371,980,000","308,593,000","698,292,000"
	CurrentLiabilities,"252,409,000","175,594,000","183,626,000"
		PayablesAndAccruedExpenses,"88,777,000","68,256,000","95,044,000"
			Payables,"81,122,000","60,500,000","89,265,000"
				AccountsPayable,"44,985,000","40,408,000","42,007,000"
				TotalTaxPayable,"6,954,000","1,592,000","2,136,000"
					IncomeTaxPayable,"658,000","666,000","664,000"
				OtherPayable,"29,183,000","18,500,000","45,122,000"
			CurrentAccruedExpenses,"7,655,000","7,756,000","5,779,000"
				InterestPayable,"298,000","1,836,000","1,379,000"
		CurrentProvisions,"13,044,000","20,922,000","4,296,000"
		CurrentDebtAndCapitalLeaseObligation,"87,773,000","74,254,000","77,881,000"
			CurrentDebt,"85,839,000","74,254,000","77,881,000"
				CurrentNotesPayable,"68,441,000","60,953,000","35,782,000"
				LineOfCredit,,"13,301,000","12,184,000"
				OtherCurrentBorrowings,"17,398,000",,"29,915,000"
			CurrentCapitalLeaseObligation,"1,934,000",,
		CurrentDeferredLiabilities,"54,207,000","1,526,000","2,446,000"
			CurrentDeferredRevenue,"54,207,000","1,526,000","2,446,000"
		OtherCurrentLiabilities,"8,608,000","10,636,000","3,959,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"119,571,000","132,999,000","514,666,000"
		LongTermProvisions,"29,016,000","37,536,000","15,060,000"
		LongTermDebtAndCapitalLeaseObligation,"87,232,000","73,147,000","73,147,000"
			LongTermDebt,"72,885,000","73,147,000","73,147,000"
			LongTermCapitalLeaseObligation,"14,347,000",,
		NonCurrentDeferredLiabilities,"3,066,000","2,286,000","1,221,000"
			NonCurrentDeferredRevenue,"3,066,000","2,286,000","1,221,000"
		TradeandOtherPayablesNonCurrent,,"0","94,316,000"
		EmployeeBenefits,"131,000","18,925,000",
		DerivativeProductLiabilities,"126,000","1,105,000",
		PreferredSecuritiesOutsideStockEquity,,"0","330,922,000"
		OtherNonCurrentLiabilities,"32,082,000","37,536,000","15,060,000"
TotalEquityGrossMinorityInterest,"612,977,000","686,698,000","-293,782,000"
	StockholdersEquity,"612,977,000","686,698,000","-384,602,000"
		CapitalStock,"31,000","30,000","6,000"
			CommonStock,"31,000","30,000","6,000"
		AdditionalPaidInCapital,"1,416,160,000","1,306,034,000",
		RetainedEarnings,"-791,165,000","-632,099,000","-397,996,000"
		GainsLossesNotAffectingRetainedEarnings,"-12,049,000","12,733,000","13,388,000"
			OtherEquityAdjustments,"-12,049,000","12,733,000","13,388,000"
	MinorityInterest,,"0","90,820,000"
TotalCapitalization,"685,862,000","759,845,000","-311,455,000"
CommonStockEquity,"612,977,000","686,698,000","-384,602,000"
CapitalLeaseObligations,"16,281,000",,
NetTangibleAssets,"598,702,000","670,808,000","-400,882,000"
WorkingCapital,"292,658,000","531,012,000","5,697,000"
InvestedCapital,"771,701,000","834,099,000","-233,574,000"
TangibleBookValue,"598,702,000","670,808,000","-400,882,000"
TotalDebt,"175,005,000","147,401,000","151,028,000"
NetDebt,,,"129,532,000"
ShareIssued,"307,628,511","298,843,016","300,516,246"
OrdinarySharesNumber,"307,628,511","298,843,016","300,516,246"
