name,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,11/30/1986,11/30/1985
TotalAssets,"8,023,583,000,000","6,847,073,000,000","6,218,518,000,000","6,013,931,000,000","6,291,148,000,000","5,982,961,000,000","5,596,982,000,000","5,956,947,000,000","5,212,994,000,000","5,397,812,000,000","6,601,055,000,000","7,822,870,000,000","8,358,057,000,000","6,403,316,000,000","7,422,076,086,240","7,897,378,229,280","7,963,747,767,000","8,060,801,319,060","7,456,145,714,178.3","7,702,353,560,580","7,640,452,187,940","8,194,738,964,370","7,695,540,343,400","7,878,063,511,815","8,559,287,295,600","8,680,534,271,508","8,094,978,232,497","7,962,546,009,733","8,160,804,715,188","8,545,549,513,732","9,027,982,453,770","8,791,793,849,940","7,803,924,871,275","6,397,471,650,498","4,829,729,660,033","4,381,933,314,300","4,399,951,522,404"
	CurrentAssets,"4,031,197,000,000","3,922,747,000,000","3,435,835,000,000","3,274,093,000,000","3,485,958,000,000","3,204,819,000,000","3,054,359,000,000","3,412,740,000,000","2,653,992,000,000","2,494,083,000,000","2,906,040,000,000","3,489,849,000,000","3,806,048,000,000","3,194,694,000,000","3,788,214,233,280","4,199,116,204,800","4,406,073,513,300","4,032,491,700,300","3,784,180,345,388.8","3,918,834,421,960","3,848,668,789,030","4,338,302,197,770","4,254,212,827,600","4,375,872,289,630","4,922,135,864,175","5,101,574,511,096","4,633,246,283,481","4,109,088,563,790","4,057,876,553,940","4,315,619,594,132","4,444,519,655,906","4,418,331,737,520","4,585,174,416,585","3,528,716,481,652","2,755,957,455,202","2,450,064,945,870","2,518,484,111,946"
		CashCashEquivalentsAndShortTermInvestments,"1,416,506,000,000","1,742,853,000,000","1,164,940,000,000","903,569,000,000","1,293,142,000,000","1,414,306,000,000","1,014,410,000,000","1,298,878,000,000","592,467,000,000","497,957,000,000","611,469,000,000","1,044,723,000,000","1,201,944,000,000","975,865,000,000","1,328,447,521,320","1,555,463,864,640","1,734,934,113,000","1,327,221,108,220","1,280,813,035,230.9","1,148,941,189,580","913,223,167,090","1,394,017,397,580","1,252,466,068,200","1,645,349,512,400","1,905,290,537,790","2,021,253,164,268","1,867,964,799,717","1,499,892,061,619","1,387,581,297,096","1,380,130,922,016","1,259,364,056,414","1,663,322,646,435","1,998,741,977,106","1,650,976,669,958","1,532,209,433,652","1,084,155,076,530","1,038,421,168,860"
			CashAndCashEquivalents,"1,205,873,000,000","1,593,224,000,000","1,016,504,000,000","772,264,000,000","1,089,585,000,000","1,270,787,000,000","1,014,264,000,000","1,280,408,000,000","592,467,000,000","496,283,000,000","574,411,000,000","974,826,000,000","1,109,912,000,000","973,867,000,000","1,211,287,284,320","1,236,759,899,040","1,667,255,204,250","1,170,339,434,040","1,278,122,459,612.5","1,147,761,457,380","901,394,195,780","1,382,541,408,510","1,117,550,328,800","1,521,960,207,985","1,905,290,537,790","2,021,253,164,268","1,867,964,799,717","1,499,892,061,619","1,387,581,297,096","1,380,130,922,016","1,259,364,056,414","1,663,322,646,435","1,998,741,977,106","1,650,976,669,958","1,532,209,433,652","1,084,155,076,530","1,038,421,168,860"
			OtherShortTermInvestments,"210,633,000,000","149,629,000,000","148,436,000,000","131,305,000,000","203,557,000,000","143,519,000,000","146,000,000","18,470,000,000",,"1,674,000,000","37,058,000,000","69,897,000,000","92,032,000,000","1,998,000,000","117,160,237,000","318,703,965,600","67,678,908,750","156,881,674,180","2,690,575,618.4","1,179,732,200","11,828,971,310","11,475,989,070","134,915,739,400","123,389,304,415",,,,,,,,,,,,,
		Inventory,"1,132,664,000,000","832,569,000,000","793,516,000,000","1,016,437,000,000","988,609,000,000","806,309,000,000","756,448,000,000","762,670,000,000","750,681,000,000","786,845,000,000","830,266,000,000","896,424,000,000","913,646,000,000","771,137,000,000","861,800,790,120","949,396,138,560","915,254,251,200","893,893,120,960","779,435,611,528.3","770,011,206,940","836,002,579,100","1,052,512,140,420","943,279,884,000","1,010,944,374,335","1,101,067,292,655","1,077,523,893,876","1,024,444,490,877","889,166,364,653","920,823,663,012","965,453,078,744","1,088,133,276,036","934,346,447,955","840,910,153,476","795,963,540,695","567,092,152,105","588,031,156,260","630,962,944,188"
			RawMaterials,,,,,,,,,,,"234,873,000,000","265,834,000,000","256,794,000,000","201,441,000,000","231,428,859,640","246,833,570,400","254,354,994,450","262,398,808,420","224,196,216,739.5","223,441,278,680","255,319,706,590","344,910,220,950",,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,"144,403,000,000","164,329,000,000","159,699,000,000","129,949,000,000","132,515,706,360","126,185,562,720","126,177,026,400","139,831,649,440","126,522,733,801.3","126,939,184,720","157,365,191,360","188,155,776,840",,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,"450,990,000,000","466,261,000,000","497,153,000,000","439,747,000,000","497,856,224,120","576,377,005,440","534,722,230,350","491,662,663,100","428,716,660,987.5","419,630,743,540","423,317,681,150","519,446,142,630",,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,"170,461,539,237.85","388,839,733,120","522,202,564,910",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,"8,101,000,000","263,354,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
