name,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"30,257,525,171,120","25,833,192,996,940","21,534,232,266,830","19,852,096,448,000","19,349,721,183,930","15,751,476,329,730","14,900,311,234,210","16,225,303,457,750","15,968,549,945,810","10,555,670,889,390","10,895,087,292,220","8,527,410,755,420","7,933,567,380,290","7,385,679,438,000","6,768,821,308,000","7,116,671,639,000"
	CurrentAssets,"9,651,702,375,320","7,444,907,068,200","5,657,405,165,390","5,181,414,896,890","5,519,342,209,670","3,605,075,720,090","3,958,265,726,800","4,773,880,158,250","3,535,554,752,850","2,063,191,570,730","2,414,856,331,370","2,364,109,016,540","2,451,455,159,580","2,959,710,128,000","2,481,641,322,000","2,204,115,007,000"
		CashCashEquivalentsAndShortTermInvestments,"3,148,933,955,220","2,490,233,707,130","1,713,011,591,800","1,292,057,056,680","1,660,633,115,980","1,324,351,833,000","1,945,524,851,330","1,884,880,309,150","1,698,677,141,780","755,554,148,440","1,012,356,201,080","786,656,505,090","1,138,845,517,310","1,805,920,836,000","1,284,976,340,000","823,672,082,000"
			CashAndCashEquivalents,"2,614,271,849,890","2,325,692,348,380","1,545,974,321,800","1,156,295,420,680","1,516,585,546,980","1,209,015,664,000","1,011,701,875,330","1,287,968,374,150","627,528,154,780","730,176,083,440","946,516,332,080","757,661,035,090","1,066,315,966,310","1,509,837,223,000","1,009,109,221,000","808,477,730,000"
				CashFinancial,"1,444,273,614,000","1,074,988,118,000","819,582,308,000","1,143,864,921,000","1,449,415,478,000","1,346,724,000","1,706,452,000","2,762,698,000","1,731,652,000","615,965,000","700,534,000","602,943,000","667,337,000",,,
				CashEquivalents,"1,169,998,236,000","1,250,704,230,000","726,392,014,000","12,430,500,000","67,170,069,000","1,207,668,940,000","1,009,995,423,000","1,285,205,676,000","625,796,503,000","729,560,118,000","945,815,798,000","757,058,092,000","1,065,648,629,000","1,509,837,223,000","1,009,109,221,000","808,477,730,000"
			OtherShortTermInvestments,"534,662,105,330","164,541,358,750","167,037,270,000","135,761,636,000","144,047,569,000","115,336,169,000","933,822,976,000","596,911,935,000","1,071,148,987,000","25,378,065,000","65,839,869,000","28,995,470,000","72,529,551,000","296,083,613,000","275,867,119,000","15,194,352,000"
		Inventory,"3,204,515,834,710","2,487,316,318,700","1,810,785,260,640","1,707,920,528,830","1,745,650,833,400","966,571,644,370","729,058,574,260","749,950,201,660","768,553,751,370","525,775,079,320","558,451,772,510","583,586,733,540","484,053,440,550","367,548,445,000","419,797,795,000","495,937,838,000"
			RawMaterials,"1,057,424,285,000","759,240,974,000","494,075,207,000","581,217,884,000","673,184,988,000","308,170,478,000","196,529,249,000","237,013,939,000","235,381,461,000","138,335,062,000","171,520,573,000","195,652,991,000","140,972,803,000","109,609,848,000","126,586,138,000","150,014,958,000"
			WorkInProcess,"1,248,028,764,000","821,049,869,000","628,602,776,000","569,890,372,000","524,016,606,000","357,531,139,000","278,453,987,000","248,833,278,000","264,880,716,000","120,818,670,000","128,923,602,000","113,752,851,000","82,183,350,000","78,052,615,000","88,354,642,000","98,244,732,000"
