name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"49,557,440,204,000","38,498,146,106,000","39,526,056,607,000","36,085,384,070,000","34,243,603,274,000","32,581,330,983,000","31,359,835,736,000","35,101,313,814,000","35,288,869,208,000","33,831,080,372,000","35,026,880,858,000","29,227,852,649,000","24,667,280,241,000","24,942,800,374,000","19,456,644,741,000"
	CurrentAssets,"21,481,684,513,000","13,295,062,788,000","17,352,776,869,000","16,752,415,052,000","16,219,198,623,000","14,987,716,062,000","12,842,183,353,000","14,888,371,134,000","16,997,439,560,000","17,885,165,635,000","19,886,931,642,000","14,223,370,838,000","12,543,080,529,000","12,763,632,806,000","9,270,363,772,000"
		CashCashEquivalentsAndShortTermInvestments,"7,411,306,598,000","4,911,535,171,000","4,573,146,521,000","4,574,032,713,000","4,309,024,673,000","5,711,759,740,000","4,698,964,066,000","3,160,028,624,000","3,003,618,652,000","3,762,757,460,000","4,634,368,680,000","3,112,811,660,000","2,884,436,422,000","4,119,131,952,000","1,363,232,364,000"
			CashAndCashEquivalents,"3,423,827,161,000","2,940,661,256,000","2,196,001,396,000","1,855,920,813,000","2,003,740,408,000","2,644,213,511,000","3,019,670,875,000","2,938,605,303,000","2,848,600,028,000","2,828,784,824,000","4,380,185,965,000","2,937,875,843,000","2,722,598,811,000","4,028,856,021,000","1,196,483,824,000"
				CashEquivalents,"3,423,827,161,000","2,940,661,256,000","2,196,001,396,000","1,855,920,813,000","2,003,740,408,000","2,644,213,511,000","3,019,670,875,000","2,938,605,303,000","2,848,600,028,000","2,828,784,824,000","4,380,185,965,000","2,937,875,843,000","2,722,598,811,000","4,028,856,021,000","1,196,483,824,000"
			OtherShortTermInvestments,"3,987,479,437,000","1,970,873,915,000","2,377,145,125,000","2,718,111,900,000","2,305,284,265,000","3,067,546,229,000","1,679,293,191,000","221,423,321,000","155,018,624,000","933,972,636,000","254,182,715,000","174,935,817,000","161,837,611,000","90,275,931,000","166,748,540,000"
		Inventory,"7,849,111,066,000","3,878,354,885,000","6,495,210,174,000","6,179,806,214,000","5,978,631,663,000","4,445,258,671,000","3,559,799,675,000","5,218,732,944,000","7,080,009,016,000","6,758,731,598,000","7,481,836,856,000","5,463,330,996,000","4,487,727,153,000","3,729,454,586,000","3,854,334,945,000"
			RawMaterials,"1,820,007,000,000","995,242,000,000","1,724,275,000,000","1,713,690,000,000","1,221,466,000,000","1,244,746,000,000","922,805,000,000","1,244,776,000,000","1,429,311,000,000","831,430,000,000","731,100,000,000","408,253,351,000","329,195,550,000","752,199,149,000","612,211,538,000"
			WorkInProcess,"1,111,518,000,000","637,667,000,000","897,172,000,000","740,923,000,000","593,982,000,000","516,913,000,000","415,287,000,000","719,390,000,000","956,248,000,000","784,226,000,000","781,916,000,000","544,854,391,000","377,218,764,000","348,534,468,000","189,594,326,000"
			FinishedGoods,"5,139,858,000,000","2,256,009,885,000","3,904,989,000,000","4,011,500,214,000","4,175,510,000,000","2,688,739,000,000","2,253,484,000,000","3,441,273,000,000","4,738,149,000,000","5,244,609,000,000","5,928,213,000,000","4,412,736,031,000","3,743,778,014,000","2,769,521,676,000","3,038,891,762,000"
