name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"42,628,431,433.5","30,672,202,133.07","23,589,108,133.69","18,676,817,715.12","13,058,857,348.42","8,328,862,192.18","5,711,498,455.53","4,812,441,241.02","2,806,024,449.68","2,123,377,464.33","1,473,200,248.64","650,409,401.87","526,316,700.25","460,301,070.15"
	CurrentAssets,"26,483,263,095.82","18,676,682,746.39","14,830,748,817.34","12,699,467,721.78","8,793,464,695.5","5,676,425,136.69","4,059,854,850.35","3,688,303,348.5","2,137,861,531.34","1,585,308,580.37","1,291,377,074.01","535,942,276.59","439,343,440.93","379,770,234.93"
		CashCashEquivalentsAndShortTermInvestments,"8,367,662,296.66","4,605,609,491.71","4,674,502,935.94","3,544,202,144","1,872,813,397.25","1,537,227,746.07","1,458,136,757.46","1,301,338,067.07","422,056,599.22","355,357,118.76","754,198,562.56","196,777,784.49","162,380,739.2","134,565,836.6"
			CashAndCashEquivalents,"8,367,662,296.66","4,595,371,501.69","4,673,513,601.52","3,544,202,144","1,872,813,397.25","1,537,227,746.07","1,458,136,757.46","1,301,338,067.07","421,927,799.22","355,357,118.76","754,198,562.56","196,777,784.49","162,380,739.2","134,565,836.6"
				CashFinancial,"5,441,712,417.93","2,362,810,717.86","1,787,421,127.02","2,573,860,954.71","1,139,314,874.4","897,881,376.99","828,109,358.64","805,889,626.12","146,844,602.22","258,485,440.64","695,665,179.27","59,857,042.71",,
				CashEquivalents,"2,925,949,878.73","2,232,560,783.83","2,886,092,474.5","970,341,189.29","733,498,522.85","639,346,369.08","630,027,398.82","495,448,440.95","275,083,197","96,871,678.12","58,533,383.29","136,920,741.78",,
			OtherShortTermInvestments,,"10,237,990.02","989,334.42",,,,,,"128,800",,,,,
		Inventory,"7,635,337,445.87","5,120,848,302.5","4,060,961,308.02","3,295,941,186.94","2,149,075,368.24","1,597,807,472.39","694,992,093.02","859,549,903.89","494,545,260.74","399,649,805.13","165,437,328.98","127,899,794.13","86,661,398.15","67,653,317.94"
			RawMaterials,"2,253,529,385.25","1,376,268,212.35","855,408,092.92","935,220,998.02","533,867,885.6","402,281,746.21","240,832,077.07","148,963,495.38","112,525,265.12","136,769,014.13","68,778,891.18","32,740,932.94",,
			WorkInProcess,"1,811,737,324.04","1,128,193,780.78","840,837,178.79","494,475,329.4","357,489,968.28","303,072,971.98","105,426,383.01","150,494,149.3","76,158,732","46,774,096.7","18,628,782.74","17,643,136.14",,
			FinishedGoods,"3,570,070,736.58","2,616,386,309.37","2,364,716,036.31","1,866,244,859.52","1,257,717,514.36","892,452,754.2","348,733,632.94","560,092,259.21","305,861,263.62","216,106,694.3","78,029,655.06","77,515,725.05",,
