name,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"82,338,000,000","62,131,000,000","52,148,000,000","34,309,000,000","29,739,614,000","28,655,372,000","22,664,076,000","8,092,460,000","5,849,251,000","2,416,930,000","1,114,190,000","713,448,000","386,082,000","130,424,000","51,699,000","34,837,000"
	CurrentAssets,"40,917,000,000","27,100,000,000","26,717,000,000","12,103,000,000","8,306,308,000","6,570,520,000","6,259,796,000","2,791,568,000","3,198,657,000","1,265,939,000","524,768,000","372,838,000","235,886,000","100,559,000","31,427,000","22,308,000"
		CashCashEquivalentsAndShortTermInvestments,"22,185,000,000","17,707,000,000","19,384,000,000","6,268,000,000","3,685,618,000","3,367,914,000","3,393,216,000","1,196,908,000","1,905,713,000","845,889,000","201,890,000","280,327,000","99,558,000","69,627,000","9,277,000","17,211,000"
			CashAndCashEquivalents,"16,253,000,000","17,576,000,000","19,384,000,000","6,268,000,000","3,685,618,000","3,367,914,000","3,393,216,000","1,196,908,000","1,905,713,000","845,889,000","201,890,000","255,266,000","99,558,000","69,627,000","9,277,000","17,211,000"
			OtherShortTermInvestments,"5,932,000,000","131,000,000",,,,,,,,,"0","25,061,000",,,,
		Receivables,"2,952,000,000","1,913,000,000","1,886,000,000","1,324,000,000","949,022,000","515,381,000","499,142,000","168,965,000","226,604,000","49,109,000","26,842,000","9,539,000","6,710,000","3,488,000","3,320,000","59,000"
			AccountsReceivable,"2,952,000,000","1,913,000,000","1,886,000,000","1,324,000,000","949,022,000","515,381,000","499,142,000","168,965,000","226,604,000","49,109,000","26,842,000","9,539,000","6,710,000","3,488,000","3,320,000","59,000"
		Inventory,"12,839,000,000","5,757,000,000","4,101,000,000","3,552,000,000","3,113,446,000","2,263,537,000","2,067,454,000","1,277,838,000","953,675,000","340,355,000","268,504,000","50,082,000","45,182,000","23,222,000","16,650,000","2,108,000"
			RawMaterials,"6,137,000,000","2,816,000,000","1,508,000,000","1,428,000,000","931,828,000","821,396,000","680,339,000","528,935,000","392,292,000","184,665,000","163,637,000","20,297,000","15,936,000","10,001,000","4,760,000","2,008,000"
			WorkInProcess,"2,385,000,000","1,089,000,000","493,000,000","362,000,000","296,991,000","243,181,000","233,746,000","163,830,000","56,114,000","42,500,000","24,535,000","3,665,000","4,538,000","3,403,000","4,372,000","100,000"
			FinishedGoods,"3,475,000,000","1,277,000,000","1,666,000,000","1,356,000,000","1,581,763,000","1,013,909,000","1,016,731,000","476,512,000","397,318,000","69,324,000","62,559,000","26,120,000","20,125,000","7,038,000","7,518,000","0"
			OtherInventories,"842,000,000","575,000,000","434,000,000","406,000,000","302,864,000","185,051,000","136,638,000","108,561,000","107,951,000","43,866,000","17,773,000",,"4,583,000","2,780,000",,
		PrepaidAssets,,"1,723,000,000","1,346,000,000","713,000,000","365,671,000","268,365,000","194,465,000","125,229,000","94,718,000","27,574,000","8,438,000","9,414,000","10,839,000","4,222,000","2,180,000","2,930,000"
		RestrictedCash,,,,"246,000,000","192,551,000","155,323,000","105,519,000","22,628,000","17,947,000","3,012,000","19,094,000","23,476,000","73,597,000",,,
		OtherCurrentAssets,"2,941,000,000",,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"41,421,000,000","35,031,000,000","25,431,000,000","22,206,000,000","21,433,306,000","22,084,852,000","16,404,280,000","5,300,892,000","2,650,594,000","1,150,991,000","589,421,000","340,610,000","150,196,000","29,865,000","20,272,000","12,529,000"
		NetPPE,"36,635,000,000","31,176,000,000","23,375,000,000","20,199,000,000","19,691,231,000","20,491,616,000","15,036,917,000","5,194,737,000","2,596,011,000","1,120,919,000","562,300,000","310,171,000","122,599,000","23,535,000","18,793,000","11,998,000"
			GrossPPE,"47,094,000,000","39,094,000,000","29,447,000,000","31,925,000,000","22,885,847,000","22,435,520,000","16,054,559,000","5,765,863,000","2,888,601,000","1,261,061,000","619,843,000","342,393,000","144,592,000","36,265,000","25,619,000","15,196,000"
				Properties,"6,889,000,000","6,913,000,000","6,861,000,000","14,130,000,000","99,380,000","74,709,000","12,774,000","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"7,751,000,000","4,675,000,000","3,662,000,000","3,024,000,000","4,047,006,000","2,517,247,000","1,079,452,000","60,234,000","49,478,000","45,020,000","26,391,000","26,391,000","26,391,000",,,
				BuildingsAndImprovements,,,,,,,,"461,303,000","154,362,000","67,707,000","50,574,000",,,,,
				MachineryFurnitureEquipment,"20,665,000,000","15,878,000,000","12,440,000,000","10,209,000,000","8,906,145,000","8,763,382,000","5,564,102,000","3,661,825,000","1,586,460,000","746,892,000","255,941,000","48,883,000","37,328,000","28,321,000","21,738,000","13,403,000"
				OtherProperties,"5,142,000,000","4,204,000,000","3,369,000,000","2,711,000,000","7,997,275,000","7,504,996,000","6,284,691,000","550,902,000","295,906,000","230,385,000","172,584,000","11,757,000","7,963,000",,,
				ConstructionInProgress,"4,281,000,000","5,598,000,000","1,694,000,000","764,000,000","875,070,000","2,785,435,000","2,608,245,000","693,207,000","572,125,000","76,294,000","75,129,000","227,461,000","58,917,000","2,619,000","0","0"
