name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1997,12/31/1996
TotalRevenue,"222,069,990","52,669,733","37,566,152","22,194,348","24,433,304","58,375,399","10,369,444","13,904,414","123,014,080","185,552,560","205,670,946","218,952,724","214,802,914","211,143,971","245,347,569","145,860,899","143,829,016","101,921,583",,"40,914","4,720",,,"8,500,000","4,200,000"
	OperatingRevenue,"222,069,990","52,669,733","37,566,152","22,194,348","24,433,304","58,375,399","10,369,444","13,904,414","123,014,080","185,552,560","205,670,946","218,952,724","214,802,914","211,143,971","245,347,569","145,860,899","143,829,016","101,921,583",,"40,914","4,720",,,"8,500,000","4,200,000"
CostOfRevenue,"206,715,852","47,559,243","34,852,132","21,571,822","27,731,901","68,570,871","12,099,632","12,954,553","113,454,395","202,159,615","204,197,751","192,648,690","192,139,516","184,387,559","214,441,714","120,254,925","104,196,278","76,234,834",,"21,599","3,754",,,"6,100,000","2,800,000"
GrossProfit,"15,354,138","5,110,490","2,714,020","622,526","-3,298,597","-10,195,472","-1,730,188","949,861","9,559,685","-16,607,055","1,473,195","26,304,034","22,663,398","26,756,412","30,905,855","25,605,974","39,632,738","25,686,749",,"19,315","966",,,"2,400,000","1,400,000"
OperatingExpense,"23,814,710","16,822,996","6,847,712","8,384,671","9,222,002","10,009,810","10,392,499","-18,504,562","20,129,372","21,413,773","54,256,901","33,959,179","43,392,109","33,809,063","31,402,386","21,024,622","17,061,373","9,592,471","14,677","61,474","7,289","3,275","3,485","4,600,000","4,100,000"
	SellingGeneralAndAdministration,"14,161,293","12,329,069","4,447,080","5,432,807","6,578,476","7,545,668","5,733,133","3,465,231","16,862,131","25,135,754","48,497,829","26,671,965","35,993,938","28,165,694","25,150,280","17,067,477","14,126,239","9,050,736","14,677","61,474","7,289","3,275","3,485","4,300,000","3,800,000"
		GeneralAndAdministrativeExpense,"10,760,733","10,027,349","3,745,676","4,411,878","4,497,338","4,328,652","4,737,843","3,329,763","12,357,721","17,490,537","40,008,940","18,130,183","27,137,264","21,989,400",,"12,371,873","9,071,615","5,027,154",,,,,,,
			OtherGandA,"10,760,733","10,027,349","3,745,676","4,411,878","4,497,338","4,328,652","4,737,843","3,329,763","12,357,721","17,490,537","40,008,940","18,130,183","27,137,264","21,989,400",,"12,371,873","9,071,615","5,027,154",,,,,,,
		SellingAndMarketingExpense,"3,400,560","2,301,720","701,404","1,020,929","2,081,138","3,217,016","995,290","135,468","4,504,410","7,645,217","8,488,889","8,541,782","8,856,674","6,176,294",,"4,695,604","5,054,624","4,023,582",,,,,,,
	ResearchAndDevelopment,"9,927,680","5,274,316","1,678,895","1,905,504","2,481,038","1,738,767","1,879,869","1,001,889","3,981,163","5,367,962","5,759,072","7,287,214","7,398,171","5,643,369","6,252,106","3,957,145","2,935,134","541,735",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"300,000","300,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"300,000","300,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"300,000","300,000"
	ProvisionForDoubtfulAccounts,"-274,263","-780,389","721,737","1,046,360","162,488","725,375","2,779,497","131,745","-639,390","-8,958,428",,,,,,,,,,,,,,,
