name,ttm,9/30/22,9/30/21,9/30/20,9/30/19,9/30/18,9/30/17,9/30/16,9/30/15,9/30/14,9/30/13,9/30/12,9/30/11,9/30/10,9/30/09,9/30/08,9/30/07,9/30/06,9/30/05,9/30/04,9/30/03,9/30/02,9/30/01,9/30/00,9/30/99,9/30/98
TotalRevenue,"25,538,000","19,173,000","9,922,000","13,665,000","4,891,000","5,633,000","8,767,000","19,535,000","16,568,000","7,404,000","2,842,000","9,854,000","10,264,000","5,025,000","3,782,000","2,541,099","2,343,530","3,355,999","6,539,819","6,368,759","4,322,944","2,976,123","1,017,046","152,314","47,663","45,117"
"	OperatingRevenue","25,219,000","18,885,000","9,563,000","13,133,000","4,891,000","5,633,000","8,767,000","8,525,000","14,713,000","7,260,000","2,751,000","9,854,000","10,264,000","5,025,000","3,782,000","2,541,099","2,343,530","3,355,999","6,539,819","6,368,759","4,322,944","2,976,123","1,017,046","152,314","47,663","45,117"
CostOfRevenue,"19,796,000","14,847,000","7,660,000","9,592,000","2,949,000","3,869,000","13,834,000","14,664,000","11,591,000","4,582,000","2,223,000","5,483,000","7,620,000","3,656,000","1,323,000","1,380,930","3,350,775","3,206,585","5,259,578","5,521,867","5,330,569","4,641,215","3,911,032","-449,454","-180,307","-55,503"
GrossProfit,"5,742,000","4,326,000","2,262,000","4,073,000","1,942,000","1,764,000","-5,067,000","4,871,000","4,977,000","2,822,000","619,000","4,371,000","2,644,000","1,369,000","2,459,000","1,160,169","-1,007,245","149,414","1,280,241","846,892","-1,007,625","-1,665,092","-2,893,986","601,768","227,970","100,620"
OperatingExpense,"9,241,000","8,719,000","6,871,000","4,873,000","6,878,000","8,505,000","13,315,000","12,442,000","7,603,000","6,026,000","4,718,000","5,838,000","4,876,000","3,505,000","3,267,000","5,660,874","3,212,920","-3,769,348","-2,490,745","-7,629,177","8,628,119","6,397,026","6,649,769","4,209,761","1,746,024","1,111,181"
"	SellingGeneralAndAdministration","5,705,000","5,281,000","4,530,000","3,048,000","3,906,000","4,372,000","6,803,000","5,460,000","2,002,000","3,335,000","2,007,000","2,813,000","1,638,000","1,104,000","-1,207,000","1,190,230","1,679,412","3,032,120","3,138,183","3,419,319","3,226,475","4,551,755","4,596,033","2,731,201","846,882","605,404"
"		GeneralAndAdministrativeExpense","4,381,000","4,134,000","3,248,000","1,931,000","2,773,000","3,067,000","5,202,000","4,427,000","1,676,000","3,044,000","1,548,000","2,258,000","1,324,000","803,000","-1,463,000",,,,,,,,,,,
"			SalariesAndWages","1,301,000","1,358,000","541,000","144,000","1,120,000","290,000","255,000","83,000","85,000","1,137,000","332,000","359,000","711,000","601,000",,,,,,,,,,,,
"			OtherGandA","3,080,000","2,776,000","2,707,000","1,787,000","1,653,000","2,777,000","4,947,000","4,344,000","1,591,000","1,907,000","1,216,000","1,899,000","613,000","202,000","-1,463,000",,,,,,,,,,,
"		SellingAndMarketingExpense","1,324,000","1,147,000","1,282,000","1,117,000","1,133,000","1,305,000","1,601,000","1,033,000","326,000","291,000","459,000","555,000","314,000","301,000","256,000",,,,,,,,,,,
