name,ttm,12/31/2022,12/31/2021,12/31/2020
TotalRevenue,"0","0","0","0"
	OperatingRevenue,"0","0","0","0"
OperatingExpense,"120,931,000","120,931,000","75,571,000","8,923,000"
	SellingGeneralAndAdministration,"107,357,000","107,357,000","61,635,000","7,043,000"
		GeneralAndAdministrativeExpense,"107,357,000","107,357,000","61,635,000","7,043,000"
			OtherGandA,"107,357,000","107,357,000","61,635,000","7,043,000"
	ResearchAndDevelopment,"13,574,000","13,574,000","13,816,000","1,865,000"
	DepreciationAmortizationDepletionIncomeStatement,,,"120,000","15,000"
		DepreciationAndAmortizationInIncomeStatement,,,"120,000","15,000"
			DepreciationIncomeStatement,,,"120,000","15,000"
OperatingIncome,"-120,931,000","-120,931,000","-75,571,000","-8,923,000"
NetNonOperatingInterestIncomeExpense,"1,780,000","1,780,000","314,000","-33,000"
	InterestIncomeNonOperating,"1,780,000","1,780,000","317,000","20,000"
	InterestExpenseNonOperating,,,"3,000","53,000"
OtherIncomeExpense,"20,032,000","20,032,000","-18,121,000","-649,000"
	GainOnSaleOfSecurity,"16,418,000","16,418,000","-20,534,000","-1,367,000"
	EarningsFromEquityInterest,"-1,557,000","-1,557,000","-62,000","0"
	OtherNonOperatingIncomeExpenses,"5,171,000","5,171,000","2,475,000","718,000"
PretaxIncome,"-99,119,000","-99,119,000","-93,378,000","-9,605,000"
TaxProvision,"0","0","0","0"
NetIncomeCommonStockholders,"-98,791,000","-98,791,000","-93,378,000","-9,605,000"
	NetIncome,"-98,791,000","-98,791,000","-93,378,000","-9,605,000"
		NetIncomeIncludingNoncontrollingInterests,"-99,119,000","-99,119,000","-93,378,000","-9,605,000"
			NetIncomeContinuousOperations,"-99,119,000","-99,119,000","-93,378,000","-9,605,000"
		MinorityInterests,"328,000","328,000",,
DilutedNIAvailtoComStockholders,"-98,791,000","-98,791,000","-93,378,000","-9,605,000"
BasicEPS,,"-0.83","-1.24","-0.082"
DilutedEPS,,"-0.83","-1.24","-0.082"
BasicAverageShares,,"118,474,000","75,362,870","116,440,191"
DilutedAverageShares,,"118,474,000","75,362,870","116,440,191"
TotalOperatingIncomeAsReported,"-122,488,000","-122,488,000","-75,633,000","-8,923,000"
TotalExpenses,"120,931,000","120,931,000","75,571,000","8,923,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-98,791,000","-98,791,000","-93,378,000","-9,605,000"
NormalizedIncome,"-115,209,000","-115,209,000","-72,844,000","-8,238,000"
InterestIncome,"1,780,000","1,780,000","317,000","20,000"
InterestExpense,,,"3,000","53,000"
NetInterestIncome,"1,780,000","1,780,000","314,000","-33,000"
EBIT,"-120,931,000","-120,931,000","-93,375,000","-9,552,000"
EBITDA,"-120,453,000"
ReconciledDepreciation,"478,000","478,000","120,000","15,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-98,791,000","-98,791,000","-93,378,000","-9,605,000"
TotalUnusualItemsExcludingGoodwill,"16,418,000","16,418,000","-20,534,000","-1,367,000"
TotalUnusualItems,"16,418,000","16,418,000","-20,534,000","-1,367,000"
NormalizedEBITDA,"-136,871,000","-136,871,000","-72,721,000","-8,170,000"
TaxRateForCalcs,"0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0"
