name,ttm,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03
TotalRevenue,"19,057,663,046.41","10,356,081,191.76","6,724,233,230.56","4,958,898,582.32","5,126,995,193.56","4,838,098,642.04","4,757,931,943.94","2,745,496,179.29","885,506,247.43","738,454,890.18","593,375,535.96","610,285,656.40","466,138,923.24","399,015,452.08","464,543,121.83","337,937,715.76","259,882,925.59","207,284,341.79","184,765,358.29","159,295,139.56"
"	OperatingRevenue","19,057,663,046.41","10,356,081,191.76","6,724,233,230.56","4,958,898,582.32","5,126,995,193.56","4,838,098,642.04","4,757,931,943.94","2,745,496,179.29","885,506,247.43","738,454,890.18","593,375,535.96","610,285,656.40","466,138,923.24","399,015,452.08","464,543,121.83","337,937,715.76","259,882,925.59","207,284,341.79","184,765,358.29","159,295,139.56"
CostOfRevenue,"16,141,785,006.51","8,429,245,133.18","5,027,919,449.91","3,345,453,675.45","3,630,656,659.47","2,944,707,825.90","2,525,265,054.54","1,499,385,846.38","646,342,245.91","519,474,295.08","404,872,294.51","450,464,297.10","345,143,642.59","287,343,226.94","341,597,319.54","240,631,522.36","183,474,134.62","152,500,119.50","132,152,915.63","112,007,590.70"
GrossProfit,"2,915,878,039.90","1,926,836,058.58","1,696,313,780.65","1,613,444,906.87","1,496,338,534.09","1,893,390,816.14","2,232,666,889.40","1,246,110,332.91","239,164,001.52","218,980,595.10","188,503,241.45","159,821,359.30","120,995,280.65","111,672,225.14","122,945,802.29","97,306,193.40","76,408,790.97","54,784,222.29","52,612,442.66","47,287,548.86"
OperatingExpense,"2,294,624,908.65","1,060,144,235.71","812,609,826.96","697,665,587.16","590,623,338.52","653,181,433.32","991,193,712.18","508,077,810.14","172,817,872.28","147,034,951.61","125,846,509.45","98,024,076.03","85,429,555.19","60,873,685.84","57,341,401.93","43,614,452.55","40,134,685.89","32,955,628.87","22,842,428.48","22,055,312.29"
"	SellingGeneralAndAdministration","1,273,756,920.99","536,914,396.17","387,319,652.69","464,799,533.85","424,916,457.74","461,299,902.58","489,246,542.90","259,849,020.88","82,938,926.38","77,038,385.14","68,021,004.77","53,262,035.54","50,350,580.49","40,521,731.80","39,325,557.03","41,919,299.62","38,994,834.20","32,073,177.46","21,873,631.84","21,023,214.98"
"		GeneralAndAdministrativeExpense","850,895,734.37","206,697,816.72","121,210,262.72","130,920,431.97","143,208,692.79","123,582,066.13","106,524,774.87","49,467,056.18","18,708,122.02","14,771,923.64","14,380,046.75","12,193,606.58","15,395,097.90","10,098,561.98","12,820,503.66","27,145,505.59","21,541,307.46","18,950,838.66","10,041,750.91","10,153,776.88"
"			RentAndLandingFees",,,,,,,,,,"41,382.91",,,,,,,,,,
"		SellingAndMarketingExpense","422,861,186.62","330,216,579.45","266,109,389.97","333,879,101.88","281,707,764.95","337,717,836.45","382,721,768.03","210,381,964.70","64,230,804.36","62,266,461.50","53,640,958.02","41,068,428.96","34,955,482.59","30,423,169.82","26,505,053.37","14,773,794.03","17,453,526.74","13,122,338.80","11,831,880.93","10,869,438.10"
"	ResearchAndDevelopment","1,327,362,546.59","644,197,062.47","498,513,896.82","437,287,886.84","347,477,251.83","334,215,942.71","329,960,357.50","135,275,444.90","46,705,749.43","34,580,245.44","28,599,676.57","21,146,428.87","11,917,847.87","2,110,611.71","3,617,248.65",,,,,
"	OtherOperatingExpenses","109,862,708.68","74,940,196.25","43,473,614.96","38,066,203.19","40,927,662.05","50,122,780.85","36,873,111.66","39,607,883.93","13,764,927.64","10,502,963.19","6,196,275.04","4,761,704.53","3,196,224.47","2,589,945.28","3,053,205.68","1,695,152.93","1,139,851.69","882,451.41","968,796.64","1,032,097.31"
OperatingIncome,"621,253,131.25","866,691,822.87","883,703,953.69","915,779,319.71","905,715,195.57","1,240,209,382.82","1,241,473,177.22","738,032,522.77","66,346,129.24","71,945,643.49","62,656,732","61,797,283.27","35,565,725.46","50,798,539.30","65,604,400.36","53,691,740.85","36,274,105.08","21,828,593.42","29,770,014.18","25,232,236.57"
NetNonOperatingInterestIncomeExpense,"-125,297,310.91","-334,974,823.24","-300,808,475.17","-284,824,763.86","-117,791,859.91","-41,042,352.64","-42,135,971.30","-22,153,919.58","-22,236,006.53","-17,094,950.06","-14,996,073.82","-12,184,196.20","-10,108,311.72","-9,143,081.28","-12,468,079.48","-3,705,087.33","-3,913,048.19","-3,113,640.47","-1,380,746.29","-1,655,037.20"
"	InterestIncomeNonOperating","-23,520,028.59","59,383,695.10","58,979,679.81","95,325,866.05","80,469,861.37","46,385,965.65","29,917,857.21","21,141,930.48","2,351,497.75","1,939,440.33","1,402,129.08","1,878,510.61","1,084,496.85","630,038.74","2,908,321.23","1,219,609.20","937,705.23","622,835.66","448,762.17",
