name,ttm,12/31/2022,12/31/2021,12/31/2020
TotalRevenue,"25,598,609,000,000","25,598,609,000,000","17,851,906,000,000","1,461,068,000,000"
	OperatingRevenue,"25,598,609,000,000","25,598,609,000,000","17,851,906,000,000","1,461,068,000,000"
CostOfRevenue,"21,308,077,000,000","21,308,077,000,000","13,953,123,000,000","1,237,020,000,000"
GrossProfit,"4,290,532,000,000","4,290,532,000,000","3,898,783,000,000","224,048,000,000"
OperatingExpense,"3,076,813,000,000","3,076,813,000,000","3,130,313,000,000","699,254,000,000"
	SellingGeneralAndAdministration,"1,737,557,000,000","1,737,557,000,000","2,207,014,000,000","657,857,000,000"
		GeneralAndAdministrativeExpense,"361,501,000,000","361,501,000,000","256,583,000,000","51,852,000,000"
		SellingAndMarketingExpense,"1,376,056,000,000","1,376,056,000,000","1,950,431,000,000","606,005,000,000"
	ResearchAndDevelopment,"134,804,000,000","134,804,000,000","106,942,000,000","4,101,000,000"
OperatingIncome,"1,213,719,000,000","1,213,719,000,000","768,470,000,000","-475,206,000,000"
NetNonOperatingInterestIncomeExpense,"35,686,000,000","35,686,000,000","-45,754,000,000","-7,109,000,000"
	InterestIncomeNonOperating,"152,690,000,000","152,690,000,000","21,831,000,000","801,000,000"
	InterestExpenseNonOperating,"113,684,000,000","113,684,000,000","67,011,000,000","7,910,000,000"
	TotalOtherFinanceCost,"3,320,000,000","3,320,000,000","574,000,000",
PretaxIncome,"995,314,000,000","995,314,000,000","777,184,000,000","-604,854,000,000"
TaxProvision,"215,488,000,000","215,488,000,000","76,523,000,000","-147,345,000,000"
NetIncomeCommonStockholders,"767,236,000,000","767,236,000,000","792,519,000,000","-455,515,000,000"
	NetIncome,"767,236,000,000","767,236,000,000","792,519,000,000","-455,515,000,000"
		NetIncomeIncludingNoncontrollingInterests,"779,826,000,000","779,826,000,000","929,868,000,000","-451,771,000,000"
			NetIncomeContinuousOperations,"779,826,000,000","779,826,000,000","700,661,000,000","-457,509,000,000"
			NetIncomeDiscontinuousOperations,,,"229,207,000,000","5,738,000,000"
		MinorityInterests,"-12,590,000,000","-12,590,000,000","-137,349,000,000","-3,744,000,000"
BasicEPS,,,"3,963","-2,278"
DilutedEPS,,,"3,963","-2,278"
BasicAverageShares,,,"199,979,561","199,962,687"
DilutedAverageShares,,,"199,979,561","199,962,687"
TotalOperatingIncomeAsReported,"1,213,719,000,000","1,213,719,000,000","768,470,000,000","-475,206,000,000"
TotalExpenses,"24,384,890,000,000","24,384,890,000,000","17,083,436,000,000","1,936,274,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"767,236,000,000","767,236,000,000","792,519,000,000","-455,515,000,000"
NormalizedIncome,"807,510,903,903.693","807,510,903,903.693","479,267,010,571.499","-448,547,820,447.579"
InterestIncome,"152,690,000,000","152,690,000,000","21,831,000,000","801,000,000"
InterestExpense,"113,684,000,000","113,684,000,000","67,011,000,000","7,910,000,000"
NetInterestIncome,"35,686,000,000","35,686,000,000","-45,754,000,000","-7,109,000,000"
EBIT,"1,108,998,000,000","1,108,998,000,000","844,195,000,000","-596,944,000,000"
EBITDA,"2,951,711,000,000"
ReconciledCostOfRevenue,"21,308,077,000,000","21,308,077,000,000","13,953,123,000,000","1,237,020,000,000"
ReconciledDepreciation,"1,842,713,000,000","1,842,713,000,000","1,451,779,000,000","115,587,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"767,236,000,000","767,236,000,000","563,312,000,000","-461,253,000,000"
TotalUnusualItemsExcludingGoodwill,"-51,404,000,000","-51,404,000,000","93,224,000,000","-16,797,000,000"
TotalUnusualItems,"-51,404,000,000","-51,404,000,000","93,224,000,000","-16,797,000,000"
NormalizedEBITDA,"3,003,115,000,000","3,003,115,000,000","2,202,750,000,000","-464,560,000,000"
TaxRateForCalcs,"0.217","0.217","0.098","0.244"
TaxEffectOfUnusualItems,"-11,129,096,096.307","-11,129,096,096.307","9,179,010,571.499","-4,091,820,447.579"
