name,ttm,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,11/30/1986,11/30/1985
TotalRevenue,"8,189,956,000,000","7,388,791,000,000","6,698,794,000,000","7,490,601,000,000","8,002,733,000,000","7,982,164,000,000","7,343,707,000,000","7,553,717,000,000","7,715,037,000,000","7,736,541,000,000","7,303,045,000,000","7,846,216,000,000","8,692,672,000,000","7,417,980,000,000","7,765,507,000,000","9,042,676,368,760","9,108,688,939,200","8,893,244,014,650","8,717,817,052,280","7,655,172,726,116.15","7,276,706,182,820","6,888,714,415,700","7,717,791,814,230","7,307,644,748,400","7,582,195,943,155","7,886,769,963,945","7,662,338,495,900","6,865,372,809,216","6,745,164,046,852","6,597,859,703,196","6,985,919,339,168","7,456,757,014,082","6,622,403,916,135","5,966,631,479,436","5,500,450,622,725","4,807,475,185,115","4,584,544,413,510","5,093,913,900,894"
	OperatingRevenue,"8,189,956,000,000","7,388,791,000,000","6,698,794,000,000","7,490,601,000,000","8,002,733,000,000","7,982,164,000,000","7,343,707,000,000","7,553,717,000,000","7,715,037,000,000","7,736,541,000,000","7,303,045,000,000","7,846,216,000,000","8,692,672,000,000","7,417,980,000,000","7,765,507,000,000","9,042,676,368,760","9,108,688,939,200","8,893,244,014,650","8,717,817,052,280","7,655,172,726,116.15","7,276,706,182,820","6,888,714,415,700","7,717,791,814,230","7,307,644,748,400","7,582,195,943,155","7,886,769,963,945","7,662,338,495,900","6,865,372,809,216","6,745,164,046,852","6,597,859,703,196","6,985,919,339,168","7,456,757,014,082","6,622,403,916,135","5,966,631,479,436","5,500,450,622,725","4,807,475,185,115","4,584,544,413,510","5,093,913,900,894"
CostOfRevenue,"5,987,037,000,000","5,306,580,000,000","4,723,943,000,000","5,339,557,000,000","5,736,234,000,000","5,642,952,000,000","5,157,163,000,000","5,339,999,000,000","5,527,213,000,000","5,638,869,000,000","5,419,888,000,000","5,864,515,000,000","6,389,180,000,000","5,341,059,000,000","5,667,287,000,000","6,358,759,688,480","6,394,815,688,320","6,154,543,408,050","6,179,079,091,780","5,326,018,102,178.65","5,233,645,958,860","5,143,077,233,840","5,507,213,655,900","4,831,278,168,400","4,936,048,537,200","5,127,081,232,170","4,957,964,073,344","4,437,595,839,069","4,193,717,177,685","4,074,210,454,836","4,260,973,907,036","4,571,610,710,016","4,134,496,083,900","3,749,123,288,418","3,450,716,957,794","3,153,238,287,824","2,969,250,819,480","3,127,088,512,506"
GrossProfit,"2,202,919,000,000","2,082,211,000,000","1,974,851,000,000","2,151,044,000,000","2,266,499,000,000","2,339,212,000,000","2,186,544,000,000","2,213,718,000,000","2,187,824,000,000","2,097,672,000,000","1,883,157,000,000","1,981,701,000,000","2,303,492,000,000","2,076,921,000,000","2,098,220,000,000","2,683,916,680,280","2,713,873,250,880","2,738,700,606,600","2,538,737,960,500","2,329,154,623,937.5","2,043,060,223,960","1,745,637,181,860","2,210,578,158,330","2,476,366,580,000","2,646,147,405,955","2,759,688,731,775","2,704,374,422,556","2,427,776,970,147","2,551,446,869,167","2,523,649,248,360","2,724,945,432,132","2,885,146,304,066","2,487,907,832,235","2,217,508,191,018","2,049,733,664,931","1,654,236,897,291","1,615,293,594,030","1,966,825,388,388"
OperatingExpense,"1,881,260,000,000","1,712,048,000,000","1,695,498,000,000","1,862,591,000,000","1,865,854,000,000","1,968,747,000,000","1,918,138,000,000","1,798,009,000,000","1,805,911,000,000","1,549,070,000,000","1,630,414,000,000","1,937,976,000,000","1,998,238,000,000","1,886,468,000,000","2,025,347,000,000","2,165,918,866,480","2,254,374,002,880","2,324,505,685,050","2,230,121,789,420","1,975,992,699,959.55","1,918,598,476,860","1,957,761,206,700","2,021,287,393,560","2,317,200,943,800","2,453,935,903,855","2,422,278,837,015","2,331,138,296,928","2,160,540,825,579","2,298,831,104,689","2,350,706,890,632","2,486,126,092,604","2,495,834,449,866","2,013,644,360,895","1,767,505,837,401","1,632,835,088,551","1,367,670,216,644","1,302,870,619,950","1,401,121,947,894"
	SellingGeneralAndAdministration,"1,900,673,000,000","1,724,511,000,000","1,667,696,000,000","1,864,381,000,000","1,939,467,000,000","1,938,010,000,000","1,842,928,000,000","1,798,009,000,000","1,805,911,000,000","1,792,558,000,000","1,722,221,000,000","1,158,624,000,000","1,998,238,000,000","1,886,468,000,000","2,025,347,000,000","2,165,918,866,480","2,254,374,002,880","2,324,505,685,050","2,230,121,789,420","1,975,992,699,959.55","1,918,598,476,860","1,957,761,206,700","2,021,287,393,560","1,425,606,221,200","1,587,412,154,425","1,577,037,238,470","1,982,113,687,956","1,859,771,642,832","1,838,864,436,192","1,868,723,434,356","1,966,693,454,880","1,997,422,266,832","1,739,276,480,370","1,531,190,522,373","1,415,202,370,182","1,215,312,657,590","1,137,333,800,160","1,213,253,679,684"
		GeneralAndAdministrativeExpense,"1,900,673,000,000","1,724,511,000,000","1,667,696,000,000","1,864,381,000,000","1,939,467,000,000","1,938,010,000,000","1,842,928,000,000","1,798,009,000,000","1,805,911,000,000","1,792,558,000,000","1,722,221,000,000","1,020,682,000,000","1,998,238,000,000","1,886,468,000,000","2,025,347,000,000","2,165,918,866,480","2,254,374,002,880","2,324,505,685,050","2,230,121,789,420","1,975,992,699,959.55","1,918,598,476,860","1,957,761,206,700","2,021,287,393,560","1,425,606,221,200","1,587,412,154,425","1,577,037,238,470","1,982,113,687,956","1,859,771,642,832","1,838,864,436,192","1,868,723,434,356","1,966,693,454,880","1,997,422,266,832","1,739,276,480,370","1,531,190,522,373","1,415,202,370,182","1,215,312,657,590","1,137,333,800,160","1,213,253,679,684"
		SellingAndMarketingExpense,,,,,,,,,,,,"137,942,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,"520,217,000,000",,,,,,,,,,,,"526,202,209,800","496,201,018,990","480,295,372,440",,,,,,,,,,,,
	OtherOperatingExpenses,"-19,413,000,000","-12,463,000,000","27,802,000,000","-1,790,000,000","-73,613,000,000","30,737,000,000","75,210,000,000",,,"-243,488,000,000","-91,807,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
