name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"20,124,069,515,850","20,124,069,515,850","13,553,220,248,800","11,294,770,446,040","10,097,426,164,130","9,158,272,454,950","6,321,560,921,970","5,200,822,510,210","7,569,330,839,950","5,474,221,640,640","5,016,464,902,440","5,771,184,919,900","5,443,881,395,210","5,124,274,937,000","4,950,436,166,000","5,302,801,598,000","5,149,044,459,000"
	OperatingRevenue,"20,124,069,515,850","20,124,069,515,850","13,553,220,248,800","11,294,770,446,040","10,097,426,164,130","9,158,272,454,950","6,321,560,921,970","5,200,822,510,210","7,569,330,839,950","5,474,221,640,640","5,016,464,902,440","5,771,184,919,900","5,443,881,395,210","5,124,274,937,000","4,950,436,166,000","5,302,801,598,000","5,149,044,459,000"
CostOfRevenue,"15,903,322,834,040","15,903,322,834,040","10,475,602,069,110","8,914,217,432,960","7,882,255,450,610","7,118,188,528,430","5,152,472,076,170","4,450,250,017,520","6,186,192,535,140","4,545,477,394,270","4,260,003,195,770","4,863,335,814,270","4,760,612,459,740","4,333,923,923,000","4,226,419,154,000","4,571,528,456,000","4,869,408,282,000"
GrossProfit,"4,220,746,681,810","4,220,746,681,810","3,077,618,179,690","2,380,553,013,080","2,215,170,713,520","2,040,083,926,520","1,169,088,845,800","750,572,492,690","1,383,138,304,810","928,744,246,370","756,461,706,670","907,849,105,630","683,268,935,470","790,351,014,000","724,017,012,000","731,273,142,000","279,636,177,000"
OperatingExpense,"2,412,733,669,000","2,412,733,669,000","2,010,042,579,000","1,709,193,652,000","1,752,974,217,000","1,325,092,730,000","1,052,194,059,000","1,676,905,127,000","1,442,970,331,000","857,926,738,000","783,856,065,000","720,974,876,000","624,533,489,000","553,021,109,000","616,858,773,000","598,242,725,000","852,204,184,000"
	SellingGeneralAndAdministration,"807,048,689,000","807,048,689,000","594,651,098,000","481,238,678,000","625,341,928,000","316,192,988,000","208,855,875,000","235,870,361,000","394,573,142,000","282,580,663,000","220,321,305,000","257,574,336,000","217,781,211,000","216,271,573,000","230,133,152,000","243,426,248,000","273,099,264,000"
		GeneralAndAdministrativeExpense,"431,819,970,000","431,819,970,000","282,533,589,000","247,042,604,000","433,749,550,000","153,243,466,000","75,198,805,000","103,462,316,000","170,112,803,000","120,847,108,000","97,346,299,000","119,508,294,000","97,739,190,000","80,675,466,000","70,468,559,000","97,402,971,000","56,469,716,000"
			RentAndLandingFees,,,,,,,,"9,036,352,000","12,723,560,000","14,625,010,000","7,402,630,000","8,679,871,000","5,415,528,000","8,168,759,000","12,450,261,000","13,738,114,000","8,714,124,000"
		SellingAndMarketingExpense,"375,228,719,000","375,228,719,000","312,117,509,000","234,196,074,000","191,592,378,000","162,949,522,000","133,657,070,000","132,408,045,000","224,460,339,000","161,733,555,000","122,975,006,000","138,066,042,000","120,042,021,000","135,596,107,000","159,664,593,000","146,023,277,000","216,629,548,000"
	ResearchAndDevelopment,"1,076,352,606,000","1,076,352,606,000","877,647,905,000","808,300,073,000","712,409,371,000","603,952,111,000","525,933,696,000","552,529,353,000","571,018,124,000","52,016,471,000","74,830,612,000","56,497,468,000","42,859,356,000","54,913,440,000","81,135,369,000","70,346,122,000","110,595,842,000"
