name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"72,631,368,302,000","46,842,929,105,000","34,164,529,332,000","49,876,534,172,000","54,510,898,386,000","46,260,932,050,000","39,520,538,747,000","48,356,320,414,000","65,865,269,122,000","66,669,522,040,000","73,330,011,478,000","68,371,154,904,000","53,706,372,597,000","43,867,170,720,000","52,606,359,936,000","20,491,269,544,000"
	OperatingRevenue,"72,631,368,302,000","46,842,929,105,000","34,164,529,332,000","49,876,534,172,000","54,510,898,386,000","46,260,932,050,000","39,520,538,747,000","48,356,320,414,000","65,865,269,122,000","66,669,522,040,000","73,330,011,478,000","68,371,154,904,000","53,706,372,597,000","43,867,170,720,000","52,606,359,936,000","20,491,269,544,000"
CostOfRevenue,"64,934,991,950,000","42,649,136,759,000","34,642,971,373,000","46,745,610,183,000","50,529,216,158,000","40,905,218,929,000","34,561,748,471,000","44,196,843,778,000","64,291,604,988,000","63,407,690,014,000","69,743,724,008,000","63,551,358,203,000","49,830,878,760,000","41,191,404,943,000","48,991,692,737,000","18,985,249,107,000"
GrossProfit,"7,696,376,352,000","4,193,792,346,000","-478,442,041,000","3,130,923,989,000","3,981,682,228,000","5,355,713,121,000","4,958,790,276,000","4,159,476,636,000","1,573,664,134,000","3,261,832,026,000","3,586,287,470,000","4,819,796,701,000","3,875,493,837,000","2,675,765,777,000","3,614,667,199,000","1,506,020,437,000"
OperatingExpense,"3,063,892,889,000","2,439,621,642,000","2,090,353,574,000","1,861,631,739,000","1,864,092,438,000","2,121,343,365,000","1,730,453,104,000","2,179,911,689,000","1,804,940,917,000","1,878,940,542,000","1,886,923,182,000","2,021,578,685,000","1,643,998,918,000","1,450,264,671,000","1,586,026,826,000","830,748,937,000"
	SellingGeneralAndAdministration,"1,121,415,889,000","906,692,642,000","944,408,574,000","873,875,739,000","958,388,000,000","1,249,571,365,000","1,057,969,104,000","1,102,079,689,000","1,124,856,917,000","1,218,399,542,000","1,211,433,182,000","1,102,925,561,000","988,075,789,000","948,305,011,000","1,020,011,301,000","505,676,809,000"
		GeneralAndAdministrativeExpense,"583,364,889,000","426,110,642,000","411,684,574,000","389,377,739,000","415,632,000,000","510,431,365,000","347,831,104,000","303,349,689,000","346,703,917,000","419,417,542,000","408,478,182,000","347,888,561,000","290,128,544,000","249,740,476,000","273,070,518,000","153,372,091,000"
			RentAndLandingFees,"147,720,000,000","122,993,000,000","149,297,000,000","155,197,000,000","50,674,000,000","43,642,000,000","40,714,000,000","42,308,000,000","43,476,000,000","52,733,000,000","59,645,000,000","59,125,000,000","57,296,571,000","53,515,047,000","54,059,475,000","23,936,014,000"
		SellingAndMarketingExpense,"538,051,000,000","480,582,000,000","532,724,000,000","484,498,000,000","542,756,000,000","739,140,000,000","710,138,000,000","798,730,000,000","778,153,000,000","798,982,000,000","802,955,000,000","755,037,000,000","697,947,245,000","698,564,535,000","746,940,783,000","352,304,718,000"
	ResearchAndDevelopment,"451,685,000,000","363,341,000,000","253,611,000,000","227,512,000,000","233,578,000,000","291,057,000,000","145,318,000,000","165,425,000,000","138,379,000,000","151,331,000,000","149,401,000,000","153,831,000,000","165,726,398,000","123,124,862,000","150,382,508,000","74,967,858,000"
	OtherOperatingExpenses,"72,866,000,000","57,618,000,000","35,894,000,000","33,294,000,000","46,492,000,000","20,991,000,000","27,412,000,000","378,805,000,000","87,205,000,000","34,604,000,000","41,703,000,000","355,492,176,000","38,932,129,000","23,535,673,000","61,374,116,000","26,911,940,000"
OperatingIncome,"4,632,483,463,000","1,754,170,704,000","-2,568,795,615,000","1,269,292,250,000","2,117,589,790,000","3,234,369,756,000","3,228,337,172,000","1,979,564,947,000","-231,276,783,000","1,382,891,484,000","1,699,364,288,000","2,798,218,016,000","2,231,494,919,000","1,225,501,106,000","2,028,640,373,000","675,271,500,000"
NetNonOperatingInterestIncomeExpense,"-443,780,270,000","-348,939,531,000","-341,177,971,000","-239,092,551,000","-170,680,000,000","-131,850,567,000","-166,106,536,000","-210,516,000,000","-190,858,000,000","-195,758,629,000","-234,426,030,000","-289,156,018,000","-358,008,140,000","-444,262,508,000","-452,773,886,000","-119,548,340,000"
	InterestIncomeNonOperating,"143,355,000,000","54,816,000,000","58,024,000,000","99,900,000,000","88,335,000,000","76,036,946,000","85,500,000,000","56,472,000,000","58,622,000,000","87,103,000,000","112,502,000,000","105,839,000,000","74,109,757,000","93,685,767,000","95,027,423,000","44,253,850,000"
	InterestExpenseNonOperating,"526,944,000,000","393,764,000,000","353,607,000,000","343,699,000,000","259,548,000,000","206,347,000,000","253,033,000,000","267,584,000,000","243,014,000,000","277,417,000,000","340,466,000,000","388,196,000,000","432,117,897,000","537,948,275,000","547,801,309,000","163,802,190,000"
	TotalOtherFinanceCost,"60,191,270,000","9,991,531,000","45,594,971,000","-4,706,449,000","-533,000,000","1,540,513,000","-1,426,464,000","-596,000,000","6,466,000,000","5,444,629,000","6,462,030,000","6,799,018,000",,,,
PretaxIncome,"3,592,477,812,000","830,964,388,000","-2,869,838,412,000","376,458,870,000","2,402,352,797,000","3,234,765,244,000","2,423,378,924,000","1,654,135,407,000","-493,069,463,000","1,117,359,387,000","1,688,722,163,000","4,308,647,548,000","1,536,956,855,000","886,753,177,000","999,861,225,000","397,963,791,000"
TaxProvision,"1,099,069,762,000","373,704,789,000","-628,120,307,000","310,684,280,000","705,434,099,000","1,079,096,026,000","701,944,635,000","656,587,423,000","-17,237,174,000","338,626,238,000","506,370,498,000","1,132,803,997,000","383,562,660,000","188,139,643,000","92,370,404,000","51,481,290,000"
