name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"48,358,793,328.89","37,358,723,512.07","29,692,307,885.29","25,240,657,906.82","20,338,301,879.82","14,044,882,525.43","8,051,965,604.73","6,471,558,017.74","4,279,187,799.9","2,203,390,775.94","1,411,796,678.01","1,031,493,577.35","775,705,717.32","466,786,381.49","488,514,416.82"
	OperatingRevenue,"48,358,793,328.89","37,358,723,512.07","29,692,307,885.29","25,240,657,906.82","20,338,301,879.82","14,044,882,525.43","8,051,965,604.73","6,471,558,017.74","4,279,187,799.9","2,203,390,775.94","1,411,796,678.01","1,031,493,577.35","775,705,717.32","466,786,381.49","488,514,416.82"
CostOfRevenue,"42,088,526,421.72","31,871,755,704.21","25,280,023,732.23","21,366,703,719.52","17,321,136,883.1","12,020,203,725.03","6,828,753,735.45","5,479,127,896.36","3,685,941,394.04","1,879,551,562.68","1,169,696,103.08","824,741,100.3","619,213,723.03","380,058,382.96","407,256,032.94"
GrossProfit,"6,270,266,907.17","5,486,967,807.86","4,412,284,153.06","3,873,954,187.3","3,017,164,996.72","2,024,678,800.4","1,223,211,869.28","992,430,121.38","593,246,405.86","323,839,213.26","242,100,574.93","206,752,477.05","156,491,994.29","86,727,998.53","81,258,383.88"
OperatingExpense,"4,708,533,108.88","3,968,883,333.11","3,129,682,043.44","2,630,998,998.46","1,865,373,331.05","1,216,548,859.18","704,538,328.79","553,224,866.03","338,029,881.76","200,225,625.63","153,625,115.42","109,646,974.1","71,647,529.78","47,294,722.31","43,377,880.64"
	SellingGeneralAndAdministration,"1,302,673,441.99","724,725,058.41","628,963,861.47","492,460,262.57","329,868,129.13","253,217,052.48","175,305,238.83","124,706,180.9","88,427,825.76","54,984,604.7","45,071,663.92","37,878,366.32","70,270,226.77","46,281,249.77","42,331,524.44"
		GeneralAndAdministrativeExpense,"841,253,701.75","444,335,382.27","375,923,870.93","232,228,363.73","142,629,121.51","111,040,050.78","93,301,704.07","62,116,554.34","43,148,190.86","24,285,082.1","22,260,230.52","19,052,654.46","56,491,144.06","36,587,609.73","30,429,169.52"
			RentAndLandingFees,,"23,728,234.01","80,804,607.8","68,494,983.61","42,788,393.13","17,778,204.78","20,782,505.7","12,885,480.82","6,771,843","7,936,326.16","7,780,270.14",,,,
		SellingAndMarketingExpense,"461,419,740.24","280,389,676.14","253,039,990.54","260,231,898.84","187,239,007.62","142,177,001.7","82,003,534.76","62,589,626.56","45,279,634.9","30,699,522.6","22,811,433.4","18,825,711.86","13,779,082.71","9,693,640.04","11,902,354.92"
	ResearchAndDevelopment,"2,605,143,388.75","2,326,672,631.71","1,806,287,309.25","1,522,671,233.55","1,059,930,908.26","647,135,718.19","306,283,408.4","228,094,129.53","153,521,994.01","70,538,373.44","46,803,282.4","37,647,116.45",,,
	OtherOperatingExpenses,"161,461,927.58","146,123,140.9","119,410,608.39","109,939,675.71","57,420,870.83","55,020,474.13","31,190,476.02","42,636,236.45","13,535,248.81","8,577,144.24","3,387,985.48","5,380,200.56","1,377,303.01","1,013,472.54","1,046,356.2"
OperatingIncome,"1,561,733,798.29","1,518,084,474.75","1,282,602,109.62","1,242,955,188.84","1,151,791,665.67","808,129,941.22","518,673,540.49","439,205,255.35","255,216,524.1","123,613,587.63","88,475,459.51","97,105,502.95","84,844,464.51","39,433,276.22","37,880,503.24"
NetNonOperatingInterestIncomeExpense,"-535,929,255.64","-496,337,781.1","-381,213,692.02","-345,665,133.83","-214,219,441.64","-143,185,470.21","-18,802,480.59","-37,794,526.49","-51,388,808.21","-16,160,598.83","2,379,249.73","-4,708,969.67","-11,502,285.82","-6,231,058.95","-7,904,444.2"
	InterestIncomeNonOperating,"50,326,143.85","92,317,193.02","93,693,920.19","40,564,904.19","48,455,944.27","11,125,353.81","12,366,077.85","10,367,779.18","7,386,088.98","3,709,632.84","11,197,650.17","8,951,578.94","2,605,267.87","3,539,504.13",
